relationshipspairslash,No Archive Warnings Apply,Choose Not To Use Archive Warnings,Graphic Depictions Of Violence,Major Character Death,Rape/Non-Con,Underage
Alexander Rozhenko/Ch'Targh,0.0,100.0,0.0,0.0,0.0,0.0
Ezri Dax/Nog,100.0,0.0,0.0,0.0,0.0,0.0
Curzon Dax/Julian Bashir/Odo,100.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Lwaxana Troi,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Kaga,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Kasidy Yates/Weyoun,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Weyoun,100.0,0.0,0.0,0.0,0.0,0.0
Kasidy Yates/Weyoun,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Ezri Dax/Kasidy Yates,100.0,0.0,0.0,0.0,0.0,0.0
Curzon Dax/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Keiko O'Brien/Kelas Parmak/Miles O'Brien,100.0,0.0,0.0,0.0,0.0,0.0
Amsha Bashir/Elim Garak,100.0,0.0,0.0,0.0,0.0,0.0
Amsha Bashir/Elim Garak/Richard Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Brunt/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Keiko O'Brien/Kira Nerys/Miles O'Brien,100.0,0.0,0.0,0.0,0.0,0.0
Corat Damar/Quark,100.0,0.0,0.0,0.0,0.0,0.0
Grilka/Lenara Kahn/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Jennifer Sisko,100.0,0.0,0.0,0.0,0.0,0.0
Vash/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Borath/Weyoun,0.0,0.0,100.0,0.0,0.0,0.0
Emergency Medical Hologram Mark II/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Elim Garak/Quark/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Iliana Ghemor/Tora Ziyal,100.0,0.0,0.0,0.0,0.0,0.0
Ezri Dax/Vic Fontaine,0.0,100.0,0.0,0.0,0.0,0.0
Ezri Dax/Lauren,100.0,0.0,0.0,0.0,0.0,0.0
Leeta/Zek/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Corat Damar/Gul Rusot,50.0,50.0,0.0,0.0,0.0,0.0
Gowron/Julian Bashir,0.0,0.0,50.0,50.0,0.0,0.0
Elim Garak/Julian Bashir/Kira Nerys,100.0,0.0,0.0,0.0,0.0,0.0
Bareil Antos/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Miles O'Brien/Worf,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Jadzia Dax,0.0,100.0,0.0,0.0,0.0,0.0
Lwaxana Troi/Odo/Quark,100.0,0.0,0.0,0.0,0.0,0.0
Lwaxana Troi/Quark,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Morn,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Worf/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Kimara Cretak/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Jack/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Jennifer Sisko/Kasidy Yates,100.0,0.0,0.0,0.0,0.0,0.0
